error,delta_error,delta_pwm
1.0936,1.0768,-940
1.0936,0.4307,-750
0.9836,-1.2320,351
0.8636,-2.0247,1136
0.7536,-1.8744,1157
0.7536,-0.7498,53
0.7536,-0.2999,-248
0.7536,-0.1200,-413
0.4336,-4.1331,1275
0.6536,0.4758,-482
0.8736,2.9988,-1400
1.4036,7.9655,-2186
1.0836,-0.8989,-25
0.7536,-4.5723,1175
0.4336,-4.9257,1258
0.4336,-1.9703,1254
0.5436,0.6161,-532
0.6436,1.5231,-1400
0.8636,3.4177,-1400
1.0836,3.4961,-1400
1.1936,2.8027,-1400
1.1936,1.1211,-985
1.3036,1.8527,-1400
1.5136,3.4219,-1400
1.7336,3.4978,-1400
1.7436,1.5268,-1400
1.7436,0.6107,-1203
1.6436,-1.0323,-276
1.5336,-1.8172,747
1.2036,-3.9204,986
0.9836,-4.3767,1089
0.7636,-4.5592,1172
0.6536,-3.2279,1208
0.5536,-2.5678,1239
0.5536,-1.0271,350
0.5536,-0.4108,-50
0.7636,2.5165,-1400
0.8736,2.4109,-1400
1.0836,3.6452,-1400
0.9836,0.4903,-682
0.9836,0.1961,-682
0.9836,0.0785,-682
0.9836,0.0314,-682
0.9836,0.0126,-682
0.9836,0.0050,-682
1.0836,1.2786,-1150
1.1936,1.9157,-1400
1.3036,2.1705,-1400
1.4136,2.2725,-1400
1.3036,-0.1555,-698
1.1936,-1.4665,895
1.0836,-1.9908,1046
1.0836,-0.7963,-78
1.0836,-0.3185,-410
1.0836,-0.1274,-596
1.0836,-0.0510,-682
1.0836,-0.0204,-719
1.0836,-0.0082,-734
0.9836,-1.2799,458
0.9836,-0.5119,-207
0.9836,-0.2048,-460
1.0836,1.1947,-1060
1.0836,0.4779,-744
1.1836,1.4677,-1362
1.2836,1.5548,-1400
1.3936,2.0262,-1400
1.4036,0.9381,-958
1.4036,0.3753,-958
